pangram,num_words,score,outer_letters,middle_letter
freelancer,56,278,flarec,n
freezing,52,292,gnizre,f
frenulum,46,217,nulmre,f
frequent,26,135,nuqrte,f
frequenter,37,197,fnqrte,u
fretwork,36,157,wkrteo,f
friction,61,244,fnirtc,o
frigidity,24,88,gfydrt,i
frizzled,14,91,fidlre,z
frogman,41,169,fnamro,g
frogmen,48,217,fnmreo,g
fromage,68,278,famreo,g
frontal,37,150,nlarto,f
frontcourt,21,93,ounrtc,f
fronting,35,182,gnirto,f
frontman,38,174,famrto,n
frontmen,51,271,nmrteo,f
frothed,47,238,fdrteo,h
frowned,50,263,ndrweo,f
frowning,23,131,gnirwo,f
frugally,28,88,fuylar,g
fruited,39,179,fidrte,u
fruitfully,34,146,uyilrt,f
fruiting,28,153,gnuirt,f
fruition,24,83,nuirto,f
fueling,50,299,gnuile,f
fuelling,47,279,gfnile,u
fullback,37,119,fukbac,l
fumarate,48,197,uamrte,f
fumbled,39,164,uldbme,f
function,20,86,uncito,f
functor,21,93,uncrto,f
funeral,63,295,unlare,f
funerary,33,144,unyare,f
funereal,52,238,fulare,n
funkier,37,148,unikre,f
funneling,50,299,gunlie,f
funnelling,47,279,gfnlie,u
furlong,26,83,gnulro,f
furnace,33,146,unarec,f
furniture,55,260,unirte,f
furrowed,46,226,udrweo,f
furthered,47,230,hudrte,f
furtive,40,162,uivrte,f
futilely,43,157,uyilte,f
gadgetry,60,260,gdarte,y
gainful,46,255,gunila,f
gallantry,28,113,nylart,g
gallivanting,27,181,gnliat,v
galvanic,37,227,gnliva,c
galvanizing,48,278,nlivza,g
gambier,52,250,gbamre,i
gambled,55,250,ldbame,g
gamecock,31,85,gckmeo,a
gamekeeper,53,236,kapmre,g
gameplay,32,122,ylapme,g
gamified,25,100,fidame,g
ganymede,36,150,nydame,g
garbanzo,27,90,nzbaro,g
gargoyle,61,242,gylare,o
garibaldi,32,102,idlbar,g
gatekeeper,46,214,kaprte,g
gaucher,42,158,huarec,g
gauntlet,49,227,gnlate,u
gazillion,17,112,gnilao,z
gearbox,45,174,xbareo,g
genderqueer,43,225,unqdre,g
genealogy,58,230,nylaeo,g
genomic,43,272,gnimeo,c
genotype,41,128,gypteo,n
gentility,31,195,gnilte,y
genuinely,50,272,nuyile,g
geodetic,17,84,oidtec,g
geographer,44,160,hapreo,g
geological,43,250,golaec,i
geometry,43,190,ymrteo,g
gherkin,23,108,gnikre,h
gigabyte,20,95,yibate,g
gilbert,49,231,ilbrte,g
gimcrack,25,83,gkamrc,i
gingerly,36,178,gnilre,y
girlhood,26,78,ghidro,l
glaciology,32,165,cyliao,g
glamour,37,135,ulamro,g
glanced,60,275,nldaec,g
glandular,37,138,unldar,g
glaringly,38,219,gnliar,y
glaucoma,29,92,gulamc,o
glazier,26,131,gliare,z
glimmering,58,299,gnimre,l
glitchy,23,113,gylitc,h
glittery,41,182,ylirte,g
globular,35,118,ulbaro,g
globulin,28,150,gnlibo,u
gloomier,57,265,limreo,g
glorify,30,116,fyliro,g
glovebox,17,76,xlvbeo,g
glowingly,55,257,gnyliw,o
glucagon,31,122,nuclao,g
glutamate,49,201,ulamte,g
gluttony,23,90,nuylto,g
glycemic,24,90,gyimec,l
glycerol,43,162,cylreo,g
glycine,39,234,nyliec,g
glycogen,31,138,onylec,g
glycolytic,19,96,oylitc,g
godchild,18,87,gcidlo,h
goddammit,19,76,idamto,g
godlike,46,209,ldikeo,g
golconda,35,129,ncldao,g
goldeneye,60,259,nyldeo,g
goldfield,53,245,fldieo,g
goldtone,53,223,nldteo,g
goliath,33,134,hliato,g
gonorrhea,28,128,gnareo,h
gonorrhoea,50,194,ghnare,o
gordita,36,134,idarto,g
gouache,20,82,ghuaeo,c
gourmet,49,224,umrteo,g
governed,44,246,gndreo,v
governing,56,254,gnivre,o
grackle,46,179,lkarec,g
gradually,29,106,uyldar,g
graduate,54,264,gdarte,u
grafting,42,225,gniart,f
gramercy,54,220,yamrec,g
grandbaby,30,122,nydbar,g
grandkid,52,244,gnikar,d
grandly,36,159,nyldar,g
granule,61,260,gnlare,u
graphed,45,228,gdapre,h
grapheme,55,248,hapmre,g
graphene,56,256,hnapre,g
graphic,22,87,giaprc,h
graphing,19,113,gniapr,h
grappling,54,298,gnliar,p
gratify,30,122,gyiart,f
gratuity,30,113,guyirt,a
gravelly,58,296,gylare,v
graveyard,50,211,gdvare,y
gravity,30,122,gyivrt,a
greatly,64,298,glarte,y
greedily,49,208,gildre,y
greenbelt,27,129,nlbrte,g
greenway,62,278,nyarew,g
greenwood,59,294,gndreo,w
gremlin,54,275,gnlire,m
grimace,61,279,iamrec,g
grouchy,16,80,gucyro,h
groundhog,25,93,ghunro,d
grounding,33,178,gnidro,u
groundnut,23,99,undrto,g
groundout,32,127,gudrto,n
grouped,57,281,gdpreo,u
groupie,38,156,uipreo,g
grouping,26,150,gnipro,u
growled,50,225,gldreo,w
growling,63,289,gnlirw,o
grownup,28,82,gunprw,o
grueling,54,265,gnlire,u
grumble,45,195,ulbmre,g
gryphon,34,102,ghnypr,o
guarantor,56,250,guarto,n
guaranty,29,119,unyart,g
guardian,30,172,gnidar,u
guarding,56,297,gnuiar,d
guardrail,35,122,uidlar,g
guardroom,28,102,udamro,g
guerilla,43,204,gilare,u
guerrilla,45,217,gulare,i
guffawed,26,106,fudaew,g
guffawing,35,185,fnuiaw,g
guilder,57,250,gildre,u
guilted,39,176,uidlte,g
gullibility,22,94,gylibt,u
gumdrop,22,80,gdpmro,u
gunboat,24,82,unbato,g
gunfight,38,225,fhunit,g
gunplay,23,79,guylap,n
gunpoint,39,228,gnipto,u
gunwale,39,150,unlaew,g
gymkhana,27,95,ghnykm,a
gynecology,31,138,ncyleo,g
gyrating,37,186,gniart,y
habanero,30,120,nbareo,h
habitability,18,86,hilbat,y
habitable,48,226,hlbate,i
habitation,26,114,nibato,h
habitual,25,103,hulbat,i
hackable,32,132,lkbaec,h
hacking,36,205,hnikac,g
hackney,22,84,nykaec,h
haemorrhage,59,255,hamreo,g
hafnium,19,84,fhuiam,n
hairband,30,133,hidbar,n
haircut,38,164,uiartc,h
hairline,36,153,nilare,h
hairpiece,60,282,iaprec,h
halberd,53,247,ldbare,h
halcyon,25,113,ncylao,h
halfback,29,123,fhkbac,l
halfpipe,25,85,hliape,f
halfwit,35,88,fhiatw,l
halibut,38,106,huibat,l
hallowed,46,190,ldaweo,h
halogen,46,166,hnlaeo,g
halothane,66,285,hlateo,n
halving,51,285,hnliva,g
hambone,39,122,hbameo,n
hamburg,23,81,hubamr,g
hampered,52,256,dapmre,h
handbill,27,112,hidlba,n
handbook,29,91,hdkbao,n
handcart,24,92,ndartc,h
handful,29,82,fhunda,l
handicap,23,98,hidapc,n
handily,22,90,hyidla,n
handler,54,255,nldare,h
handling,20,107,gnlida,h
handloom,27,100,hldamo,n
handmaiden,26,146,nidame,h
handrail,25,86,hidlar,n
handymen,31,157,nydame,h
hangout,32,120,hunato,g
hapkido,18,76,hikdap,o
haploid,46,155,hidapo,l
happening,54,289,hniape,g
harangue,64,275,hunare,g
haranguing,15,80,guniar,h
hardback,28,87,hdkbrc,a
hardbody,25,119,ydbaro,h
hardtack,22,83,dkartc,h
hardtop,30,122,haprto,d
hardwire,55,286,idarew,h
hardwired,56,278,hidare,w
harking,52,277,hnikar,g
harmful,29,88,fhlamr,u
harming,19,104,gniamr,h
harmony,21,98,nyamro,h
harping,39,227,ghniar,p
harrying,16,81,gnyiar,h
hatchery,42,199,hartec,y
hateful,40,140,hulate,f
hauling,22,107,gnulia,h
haunted,41,192,undate,h
haunter,53,284,hnarte,u
haunting,33,156,guniat,h
hawking,40,212,hnikaw,g
hawthorn,31,135,hnarto,w
hayloft,33,149,hylato,f
haymaker,26,108,ykamre,h
hayride,54,262,yidare,h
haywire,27,100,yiarew,h
headhunted,41,192,nudate,h
heading,58,283,ghnide,a
headlamp,30,112,ldapme,h
headline,37,178,nldiae,h
headphone,33,146,ndapeo,h
headpiece,37,159,idapec,h
headroom,60,290,damreo,h
headwind,24,96,nidaew,h
healing,27,123,gnliae,h
healthful,33,119,fulate,h
healthily,37,151,yliate,h
heaping,16,90,gniape,h
hearing,38,192,gniare,h
hearkened,43,196,nkdare,h
heartbreak,52,261,kbarte,h
heartbreaker,32,148,hbarte,k
heartfelt,68,298,hlarte,f
heatedly,34,171,hldate,y
heathland,53,229,nldate,h
heavenly,28,104,hylvae,n
heavily,40,126,hyivae,l
heaving,48,248,hnivae,g
hedgerow,47,215,hodrew,g
hedonic,35,158,onidec,h
hegemony,26,99,ghymeo,n
heirloom,30,131,ilmreo,h
helicity,35,146,ylitec,h
helicon,41,216,nclieo,h
helipad,33,127,lidape,h
hellhound,27,119,nuldeo,h
helming,38,215,hnlime,g
helminth,26,111,nlimte,h
helpfully,24,84,fhylpe,u
helping,44,254,hnlipe,g
helpmate,43,171,lapmte,h
hemlock,28,98,olkmec,h
hemolymph,29,116,ylpmeo,h
hemorrhage,28,129,gamreo,h
hemorrhoid,33,151,idmreo,h
henpecked,21,104,hkdpec,n
heparin,31,151,niapre,h
hepatic,51,284,haptec,i
hepatica,52,254,hiatec,p
heraldry,52,239,yldare,h
herbicide,31,151,idbrec,h
herbivore,24,109,hvbreo,i
herding,41,214,gnidre,h
herdman,53,273,ndamre,h
heredity,37,190,yidrte,h
hermetic,55,280,imrtec,h
herpetic,55,285,iprtec,h
heterodox,19,128,hdrteo,x
hexagram,42,176,hxamre,g
hexameter,50,221,xamrte,h
hiccuping,31,195,hnuipc,g
hickory,29,106,hyikro,c
hidalgo,26,88,hidlao,g
hideaway,38,138,hyiaew,d
hideout,23,93,uidteo,h
hierarchy,49,218,yiarec,h
highborn,19,113,gnibro,h
highland,20,107,gnilda,h
highlighted,37,210,hidlte,g
highlighter,49,259,hilrte,g
highroad,23,85,hidaro,g
hilarity,24,106,hilart,y
hindbrain,27,128,hndbar,i
hireling,29,133,gnilre,h
hitchhiked,38,174,ikdtec,h
hitchhiker,57,290,ikrtec,h
hitchhiking,35,231,hniktc,g
hobbling,14,84,gnlibo,h
hobgoblin,52,257,ghnibo,l
hobnail,32,126,hilbao,n
hocking,36,236,hnciko,g
hogback,27,95,ghkbac,o
hogtied,32,160,hidteo,g
holding,43,207,ghnido,l
holdover,35,156,ldvreo,h
holiday,29,122,hlidao,y
hollowing,15,94,gnliwo,h
hologram,30,120,hlamro,g
holograph,25,92,hlapro,g
holotype,35,152,ylpteo,h
homburg,21,97,ghbmro,u
homebody,18,85,ydbmeo,h
homebrew,21,83,obmrew,h
homelike,33,86,hikmeo,l
homemaker,30,114,kamreo,h
homeopath,35,120,apmteo,h
homeowner,28,118,nmrweo,h
homepage,24,80,ghpmeo,a
homeport,50,257,pmrteo,h
homeric,44,221,oimrec,h
hometown,23,78,hnmteo,w
homework,20,84,kmrweo,h
homicide,28,130,cidmeo,h
homologue,24,84,hulmeo,g
homomorphic,28,152,oipmrc,h
homophobia,18,80,hibpmo,a
homophobic,20,83,oibpmc,h
homophonic,27,131,onipmc,h
honeydew,21,87,onydew,h
honeymooned,21,108,nydmeo,h
honeypot,31,155,nypteo,h
honorific,22,103,fonirc,h
honourary,18,89,nuyaro,h
honoured,32,156,nudreo,h
honouring,42,236,hnuiro,g
hoodwink,26,98,hnidkw,o
hooligan,20,101,gnliao,h
hootenanny,30,115,nyateo,h
hopeful,42,108,fhupeo,l
hoplite,35,170,lipteo,h
hormonal,26,92,hnamro,l
hornbill,26,105,hilbro,n
hornpipe,34,180,nipreo,h
horrible,28,123,ilbreo,h
horribly,27,85,hyilbr,o
horrified,56,280,hidreo,f
hotelier,55,278,lirteo,h
hotline,31,140,nliteo,h
hounding,40,217,hunido,g
hourlong,22,80,ghnulr,o
howbeit,21,86,hibtew,o
howling,47,230,ghnliw,o
huddling,39,233,hnuldi,g
huggable,35,156,hulbae,g
hulking,30,165,hnulki,g
humanly,28,121,huylam,n
humbled,19,88,uldbme,h
humbler,47,204,hlbmre,u
humeral,36,130,ulamre,h
humidified,20,89,huidme,f
humidor,18,104,hidmro,u
humility,18,82,hyilmt,u
humoral,21,80,ulamro,h
humored,31,152,udmreo,h
humoured,38,202,hdmreo,u
humping,31,179,hnuipm,g
hunchback,22,89,hukbac,n
hundredth,37,236,undrte,h
hungered,53,265,hundre,g
hungering,28,146,gunire,h
hungrier,32,174,ghnire,u
hunkered,46,220,hukdre,n
hurling,40,215,hnuilr,g
hurrying,23,121,hnuyir,g
hurting,29,145,gnuirt,h
hurtled,38,172,uldrte,h
hyacinth,40,159,nyiatc,h
hyaline,28,106,hyliae,n
hydrant,23,92,hydart,n
hydrology,23,103,hyldro,g
hydroxyl,24,85,hxyldr,o
hygienic,23,125,hnyiec,g
hypertext,21,85,hxprte,y
hypertrophy,40,192,yprteo,h
hyphenate,31,125,nyapte,h
ibogaine,43,207,gnibeo,a
icebreaker,49,234,kbarec,i
ideality,45,212,idlate,y
identify,42,214,nyidte,f
ideologue,57,263,uidleo,g
ideology,63,292,yidleo,g
idiomatic,43,207,odamtc,i
idolizing,33,170,gnilzo,d
iguanodon,51,268,unidao,g
illegality,48,245,yilate,g
illegitimate,57,284,ilamte,g
illiquidity,17,83,qyidlt,u
illogically,32,165,cyilao,g
illuminati,49,236,nilamt,u
illumined,55,257,uidlme,n
imagery,64,283,yiamre,g
imaginary,27,137,gniamr,y
imbroglio,33,82,gibmro,l
immature,32,165,iamrte,u
immaturity,20,106,yiamrt,u
immediacy,45,197,ydamec,i
immemorial,64,269,lamreo,i
imminently,23,127,nilmte,y
immobility,14,88,ilbmto,y
immobilize,23,99,lzbmeo,i
immolate,52,194,lamteo,i
immorally,32,153,ilamro,y
immortal,70,285,lamrto,i
immunized,46,224,uizdme,n
impairing,50,298,gniamr,p
impaling,53,285,gnilam,p
impartial,64,249,lapmrt,i
impatient,54,238,niamte,p
impeach,22,83,iapmec,h
impediment,51,276,nidmte,p
impeding,49,289,gnidme,p
impending,40,213,gnidpe,m
impetigo,23,96,gpmteo,i
impingement,44,260,gnimte,p
implant,53,257,ilapmt,n
implement,50,233,ilpmte,n
implicitly,28,112,ylpmtc,i
implode,68,297,ldpmeo,i
imploded,64,268,idlpeo,m
implore,71,297,lpmreo,i
implying,32,200,nyilpm,g
impolite,58,224,lpmteo,i
impolitic,32,159,ilpmto,c
impotent,58,277,nimteo,p
impound,22,97,nidpmo,u
imprimatur,26,111,uapmrt,i
imprinting,44,261,nipmrt,g
impromptu,29,127,ipmrto,u
improve,47,243,vpmreo,i
improver,36,190,ipmreo,v
impunity,24,105,uyipmt,n
impurity,22,100,yipmrt,u
imputed,28,128,idpmte,u
imputing,39,260,nuipmt,g
inability,35,178,yilbat,n
inaccuracy,18,98,nyiarc,u
inactivate,44,259,niatec,v
inactivating,35,240,gnivat,c
inactive,52,298,nivate,c
inactivity,36,184,yivatc,n
inaugural,49,264,gnilar,u
inaugurating,47,274,gniart,u
inboard,62,269,idbaro,n
incapacity,24,134,niaptc,y
incentivize,34,152,izvtec,n
incivility,15,84,nilvtc,y
inclement,48,238,niltec,m
include,49,255,nidlec,u
included,52,287,uidlec,n
including,43,276,nuidlc,g
inconveniencing,34,232,goniec,v
incunabula,24,107,nilbac,u
indelibly,45,213,yidlbe,n
indemnify,28,139,nyidme,f
indemnity,25,114,nidmte,y
independency,43,235,yidpec,n
individual,29,127,uidvla,n
inducting,25,155,gnidtc,u
induction,48,245,nuidtc,o
ineffable,45,207,nilbae,f
ineffective,22,136,nivtec,f
ineptitude,49,267,nidpte,u
ineptly,48,219,yilpte,n
inequity,30,167,nqyite,u
inerrancy,60,268,yiarec,n
inexact,57,269,xiatec,n
inexperience,47,245,xnprec,i
infallible,49,224,filbae,n
infallibly,24,108,nyilba,f
infantry,34,160,nyiart,f
infatuation,47,221,fuiato,n
infecting,25,148,gnitec,f
infection,37,225,nciteo,f
infective,41,220,fivtec,n
infernal,67,298,filare,n
infinitely,51,265,fyilte,n
infirmary,23,101,nyiamr,f
infirmity,22,79,fnymrt,i
inflaming,32,173,gnilam,f
inflect,43,187,niltec,f
inflexible,23,91,xnilbe,f
inflexion,26,103,xnileo,f
inflicting,36,243,fniltc,g
infliction,28,127,ncilto,f
inflight,24,140,ghnilt,f
influence,28,105,nuilec,f
influent,48,193,nuilte,f
informer,55,257,fimreo,n
informing,35,179,gfniro,m
ingenuity,32,198,nuyite,g
inglenook,38,157,gnileo,k
ingroup,48,261,guniro,p
inhabiting,30,194,ghniat,b
inhalation,52,258,hilato,n
inhaled,37,178,nidlae,h
inhaler,52,226,hilare,n
inhibited,23,117,nidbte,h
inhibitor,26,124,nibrto,h
inhumane,35,141,huiame,n
initialization,51,273,izlato,n
initialize,63,289,izlate,n
initializing,12,92,gnilat,z
initiatory,31,144,niarto,y
injected,56,284,idjtec,n
injecting,25,169,nijtec,g
injection,47,296,nijteo,c
injective,34,152,ijvtec,n
injunction,41,221,nuijtc,o
injured,38,195,nidjre,u
inkblot,38,130,iklbto,n
innately,33,172,nilate,y
innovate,45,286,niateo,v
innovating,17,133,gniato,v
innovator,20,159,niarto,v
inoculum,42,166,nuilmc,o
inquired,19,129,nuidre,q
integrity,38,203,gnirte,y
integument,42,260,unimte,g
intelligence,37,265,gnilte,c
interiority,32,162,nirteo,y
interject,39,221,nijrte,c
interlink,45,191,nilrte,k
intermix,62,294,xnirte,m
interview,48,253,nivrte,w
interwar,66,296,niarte,w
intimacy,46,218,yiamtc,n
intoxicant,15,98,oniatc,x
intracranial,51,263,ilartc,n
intraday,44,190,yidart,n
intricacy,54,274,yiartc,n
intruding,40,237,gnidrt,u
intubate,31,127,nibate,u
intubation,28,104,nibato,u
inundating,24,146,gnuiat,d
inundation,46,212,uidato,n
invincible,24,105,ilvbec,n
invitational,62,276,nivato,l
invitingly,29,189,nyilvt,g
invoked,52,196,ikvdeo,n
involution,25,98,uilvto,n
involved,67,296,idvleo,n
ironbark,47,170,ikbaro,n
ironworker,42,159,nikrew,o
irritability,59,296,ylbart,i
irritably,56,259,yibart,l
italicize,41,196,lzatec,i
itemizing,29,176,nizmte,g
itinerary,48,230,niarte,y
jackboot,35,120,jkbatc,o
jacketed,34,154,jkatec,d
jacking,26,148,njkiac,g
jackpot,32,107,jkaptc,o
jacobin,37,164,ojibac,n
jailbird,33,119,jdlbar,i
jalapeno,39,110,jlapeo,n
jamboree,57,247,jamreo,b
jangled,55,251,njdlae,g
janitor,55,281,jiarto,n
japonica,35,167,ojiapc,n
javelin,47,179,jivlae,n
jawbone,29,76,ojbaew,n
jawbreaker,29,118,jbarew,k
jawline,31,91,jilaew,n
jaybird,28,85,yjidbr,a
jellybean,24,96,yjlbae,n
jerking,48,286,njkire,g
jeroboam,61,256,jbmreo,a
jetliner,59,287,jilrte,n
jetpack,29,85,jkptec,a
jockeyed,32,120,yjkdec,o
jocular,34,146,ujlarc,o
joinery,27,100,yjireo,n
jointed,54,267,njdteo,i
jointer,67,291,njirte,o
jointly,28,77,nyjilt,o
jolting,15,85,gnilto,j
journal,22,91,njlaro,u
journey,21,91,uyjreo,n
jovially,23,84,yjivao,l
joyride,17,89,yjdreo,i
judicial,22,82,ujdlic,a
jughead,24,104,hujdae,g
julienned,30,137,njilde,u
jumbled,41,199,jdlbme,u
jumping,25,161,nujipm,g
junction,41,221,unjitc,o
juncture,46,241,ujrtec,n
juniper,36,163,ujipre,n
juvenal,20,82,njlvae,u
juvenile,23,94,ujivle,n
kampong,24,78,gkapmo,n
karting,31,141,gniart,k
keratin,53,218,niarte,k
kerchief,29,114,hikrec,f
ketamine,67,293,nkamte,i
ketchup,27,94,hukptc,e
keycard,42,181,kdarec,y
keyframe,32,135,ykamre,f
keylogger,42,147,ylkreo,g
keyword,33,126,okdrew,y
kidnaped,44,188,nkdape,i
kidnapped,33,132,nidape,k
kidnapping,43,244,nikdap,g
kilowatt,29,96,iklatw,o
kindler,57,266,nidlre,k
kingdom,35,198,nikdmo,g
kingwood,43,245,nikdwo,g
kitchen,47,231,niktec,h
kitchenette,48,219,hiktec,n
klondike,69,271,lkideo,n
kneading,28,115,gnidae,k
knotweed,67,245,nkdtew,o
knuckled,50,217,nlkdec,u
knuckling,26,156,gnlikc,u
knurled,57,242,nlkdre,u
kowtowing,44,263,wnikto,g
kremlin,41,160,lkimre,n
krypton,21,81,nykrto,p
kundalini,31,96,ulkida,n
kyanite,55,230,yikate,n
laboratory,39,197,lbarto,y
labourer,52,231,lbareo,u
laburnum,46,168,nlbamr,u
laconically,58,300,oyliac,n
lacquer,40,172,qlarec,u
lactobacilli,78,298,oibatc,l
ladybird,39,185,ldibar,y
ladybug,24,81,gyldba,u
ladylike,39,179,ldikae,y
lakeview,36,97,ikvaew,l
lamprey,64,293,lapmre,y
landmark,19,76,nlkamr,d
languid,42,227,gnulia,d
languor,45,167,nularo,g
lanthanum,20,78,unlamt,h
lapidary,46,228,lidapr,y
lapwing,52,256,gniapw,l
larceny,62,295,ylarec,n
larking,52,231,gnikar,l
latency,31,171,nlatec,y
latitudinal,39,175,ulidat,n
laughable,32,130,ghlbae,u
laughably,29,83,ghuyba,l
laughed,54,234,huldae,g
laugher,67,271,hulare,g
laughing,32,160,ghnlia,u
laundry,32,134,uyldar,n
lavatory,30,153,lvarto,y
lawbreaker,57,233,kbarew,l
lawmaker,42,143,kamrew,l
laxative,17,79,livate,x
layabout,26,86,ylbato,u
layover,47,215,lvareo,y
lazaretto,67,290,lzarte,o
leafing,54,268,gnliae,f
leaking,40,183,gnliae,k
lecithin,48,211,nlitec,h
lectotype,22,88,ylpteo,c
leeching,34,179,gnliec,h
leftover,48,212,lvrteo,f
legality,48,245,yliate,g
legalized,56,259,lizdae,g
legalizing,19,104,gnliae,z
leghorn,41,158,hnlreo,g
legibility,19,100,glibte,y
legionella,65,280,gnliae,o
legitimate,57,284,liamte,g
legitimize,29,109,gizmte,l
legwork,33,116,olkrew,g
leitmotif,36,114,limteo,f
lengthened,22,102,hnldte,g
lengthy,22,102,ghylte,n
letdown,50,216,nldteo,w
lethality,22,103,hliate,y
letterbox,50,210,xbrteo,l
leukaemia,21,104,lkiame,u
leukemia,48,174,uikame,l
leukemic,20,81,lkimec,u
levodopa,41,189,ldapeo,v
levying,45,263,nylive,g
lexically,19,92,xliaec,y
lexicon,44,167,nxliec,o
liberalize,56,276,lzbare,i
liberally,60,295,libare,y
libertine,50,237,nlirte,b
liberty,33,152,librte,y
lieutenant,36,148,nliate,u
lifeblood,50,223,lidbeo,f
lifelong,44,209,gnlieo,f
lightbulb,20,76,ghulbt,i
lighted,37,210,hlidte,g
lighter,49,259,hlirte,g
lightweight,24,121,hlitew,g
likability,21,99,likbat,y
likelihood,25,90,likdeo,h
lilliputian,33,127,nliapt,u
limelight,21,104,hlimte,g
limerick,44,168,ikmrec,l
liminality,54,282,yliamt,n
limnology,47,269,nylimo,g
linearly,55,229,yliare,n
linocut,57,222,unlitc,o
linoleum,47,184,ulimeo,n
lionized,56,236,lizdeo,n
liquefied,41,190,uqlide,f
liquefy,19,78,fqylie,u
liquidity,17,83,qylidt,u
liquified,39,191,fqlide,u
literally,60,299,liarte,y
literature,37,169,liarte,u
lithology,21,101,hylito,g
litigator,64,228,giarto,l
liturgy,25,85,guyirt,l
livability,20,128,livbat,y
livelihood,22,82,livdeo,h
loading,59,300,gnliao,d
loafing,62,284,gfnlia,o
loanword,52,213,nldarw,o
loathed,64,266,ldateo,h
lobbying,29,146,gnlibo,y
locality,50,192,yliatc,o
localize,29,112,lizaec,o
lockable,50,173,lkbaec,o
lockdown,37,116,nclkdw,o
locking,41,187,gnclio,k
lockjaw,30,97,clkjaw,o
locomotion,62,234,nlimtc,o
lofting,40,198,gnlito,f
logically,47,223,gyliac,o
logotype,29,132,ylpteo,g
loincloth,33,142,nclito,h
longboat,38,139,nlbato,g
longform,37,99,gfnlmr,o
longhand,33,115,hnldao,g
longleaf,52,185,fnlaeo,g
lording,54,273,gnlido,r
lothario,29,101,liarto,h
loudmouth,22,81,hldmto,u
lounged,68,283,guldeo,n
lounger,59,221,unlreo,g
louvered,44,213,ldvreo,u
lovingly,45,260,nylivo,g
lowlight,17,76,whlito,g
lucidity,19,86,ylidtc,u
lucifer,61,261,ulirec,f
luckier,31,114,lkirec,u
lucking,43,252,gnuikc,l
lumbago,28,109,ulbamo,g
lumbermen,52,214,nlbmre,u
lumping,45,233,gnlipm,u
lunatic,48,226,uliatc,n
lunched,23,115,unldec,h
luncheon,28,126,uncleo,h
lunching,37,224,hunlic,g
lurched,37,180,uldrec,h
lurking,43,239,nulkir,g
luthier,39,181,ulirte,h
lycopene,36,138,oylpec,n
lymphoma,21,89,ylapmo,h
lynched,17,85,hyldec,n
lynching,25,173,hnylic,g
lynchpin,18,87,nylipc,h
macchiato,37,152,ciamto,h
machine,26,132,niamec,h
machining,41,231,ghniac,m
mackerel,62,255,kamrec,l
mackinaw,22,91,cikamw,n
madrigal,37,138,idlamr,g
magazine,18,105,gniame,z
magically,20,92,yilamc,g
magnanimity,19,100,gniamt,y
magneto,55,271,namteo,g
magneton,69,297,gnamte,o
magnify,36,209,fnyiam,g
magnifying,48,256,gfyiam,n
mahjong,25,94,ghnjmo,a
mahogany,21,89,hnyamo,g
maidenhead,58,264,hndame,i
mailbox,28,109,xlbamo,i
majolica,38,147,jilamo,c
majored,66,275,jdamre,o
majorly,27,141,jlamro,y
makeover,24,91,vamreo,k
malarkey,41,186,lkamre,y
malefic,38,139,liamec,f
manacled,58,288,nldame,c
manageable,47,209,nlbame,g
mandolin,64,294,ldiamo,n
mandragora,63,291,gdamro,n
mandrake,43,197,ndamre,k
mandrill,50,237,idlamr,n
maneuver,22,98,nvamre,u
manfully,19,87,nuylam,f
mangold,43,165,nldamo,g
manhandle,35,176,nldame,h
manhole,40,118,hlameo,n
maniacally,53,298,yilamc,n
manically,34,190,nilamc,y
mannequin,34,131,uqiame,n
mannerly,53,224,ylamre,n
manorial,62,283,ilamro,n
mapmaking,58,280,gnikpm,a
marathon,31,140,namrto,h
marihuana,14,76,hniamr,u
marijuana,22,95,uijamr,n
marketed,44,237,damrte,k
marking,21,80,gniamr,k
marrying,53,284,gnyiar,m
martyrdom,36,160,damrto,y
martyred,61,289,damrte,y
marveled,56,294,ldamre,v
maryjane,37,143,yjamre,n
marzipan,21,99,izapmr,n
matched,64,297,damtec,h
matchup,24,91,uapmtc,h
mathematic,52,225,iamtec,h
matriarch,40,173,iamrtc,h
matured,57,292,damrte,u
maturity,21,113,uiamrt,y
maudlin,35,158,nldiam,u
mauling,50,268,gnliam,u
maxillary,11,77,yilamr,x
maximized,26,106,xzdame,i
maximizer,24,108,xzamre,i
maximizing,39,236,nxizam,g
mayoralty,43,228,lamrto,y
maypole,35,169,lapmeo,y
meatloaf,48,187,lamteo,f
mechanic,56,264,hiamec,n
meconium,16,117,onimec,u
meddling,52,273,gnlide,m
mediaeval,47,212,idlame,v
medially,43,205,idlame,y
medieval,60,251,idvlae,m
medigap,32,129,idapme,g
meditative,62,289,dvamte,i
medivac,59,257,dvamec,i
megabit,29,134,ibamte,g
megabyte,23,87,gyamte,b
megafauna,29,107,fnuame,g
megillah,39,156,hilame,g
melodic,57,286,ldimeo,c
melting,51,251,gnlite,m
meltwater,65,260,lartew,m
memorial,62,268,ilamre,o
memorized,43,222,zdmreo,i
menacing,56,226,gniamc,e
menarche,46,234,namrec,h
menfolk,27,78,fnkmeo,l
meningioma,52,211,gniamo,e
menorah,54,205,hamreo,n
mentally,35,176,nlamte,y
menthol,26,99,nlmteo,h
meowing,36,192,onimew,g
mercenary,61,278,yamrec,n
meringue,43,221,gnimre,u
metalhead,54,227,ldamte,h
metazoan,60,252,zamteo,n
methionine,27,130,nimteo,h
methought,22,82,gumteo,h
